City,ongelukken,lat,lng
Dayton,7321,39.7805,-84.2003
Reynoldsburg,99,39.9588,-82.7943
Williamsburg,181,37.2693,-76.7076
Westerville,302,40.1241,-82.921
Columbus,5281,39.9862,-82.9855
Miamisburg,512,39.6322,-84.2724
Johnstown,112,40.326,-78.9194
Dublin,867,37.7161,-121.8963
Canal Winchester,84,39.8437,-82.8126
Lebanon,531,40.3412,-76.4228
Sabina,3,39.4903,-83.6345
Goshen,74,41.5743,-85.8309
Waynesville,64,35.4854,-82.9996
Springboro,45,39.5615,-84.2348
Carroll,28,42.0699,-94.8646
Independence,547,39.0871,-94.3501
Maple Heights,89,41.4094,-81.5625
Grove City,267,39.8654,-83.069
Findlay,54,41.0469,-83.6379
Fairborn,65,39.801,-84.0094
Piqua,17,40.1506,-84.2441
New Richmond,9,45.125,-92.5377
Batavia,101,41.8479,-88.3109
Galena,40,42.4218,-90.4293
Barberton,79,41.0095,-81.6037
Akron,860,41.0798,-81.5219
Mansfield,136,40.7656,-82.5275
Cleveland,1548,41.4764,-81.6805
Bethel,57,60.7928,-161.7917
Pataskala,41,40.011,-82.7155
Seville,25,41.0207,-81.8671
Bellville,5,29.9472,-96.2598
Troy,470,42.5817,-83.1457
Wilmington,826,34.2099,-77.8866
North Olmsted,41,41.4149,-81.919
Groveport,71,39.8586,-82.8978
Orient,24,41.1425,-72.2771
Tiro,1,40.9062,-82.769
Strongsville,43,41.3128,-81.8313
Beavercreek,12,39.731,-84.0624
Circleville,28,39.6063,-82.9334
Peebles,2,38.9463,-83.4094
Hurricane,56,37.1487,-113.3517
Xenia,50,39.6829,-83.9413
Elyria,39,41.376,-82.106
Pickerington,81,39.889,-82.7678
Burbank,1106,34.1879,-118.3235
Zanesville,35,39.9565,-82.0132
North Baltimore,27,41.1803,-83.6695
Mount Sterling,34,38.0648,-83.9472
Tipp City,27,39.9644,-84.1866
Moraine,127,39.6983,-84.2458
Hilliard,105,40.0353,-83.1578
Bowling Green,142,36.9716,-86.4378
Maineville,10,39.3126,-84.1986
Vermilion,6,41.4103,-82.3214
Milford,533,38.9091,-75.4227
Cambridge,279,42.3759,-71.1185
Delaware,174,40.2851,-83.0741
Moscow,5,46.7308,-116.9986
Oberlin,8,41.286,-82.2198
Sardinia,5,39.0071,-83.802
Urbancrest,1,39.9017,-83.0859
Brecksville,38,41.3079,-81.6192
Frankfort,70,38.1924,-84.8643
Blanchester,13,39.2934,-83.9795
Casstown,1,40.0528,-84.1285
Lima,49,40.741,-84.112
Amelia,12,39.0269,-84.2218
Newark,2151,40.7245,-74.1725
Springfield,2041,42.1155,-72.5395
Vandalia,117,39.8791,-84.193
Galloway,22,39.2339,-80.1277
Bloomingburg,10,39.6079,-83.3953
Gallipolis,3,38.8186,-82.1934
Lockbourne,58,39.8078,-82.9838
Milan,78,35.9126,-88.7554
Mason,44,39.3571,-84.3023
Millersport,18,39.898,-82.5387
New Carlisle,31,39.9446,-84.0257
Sunbury,71,40.8616,-76.7871
Owensville,1,38.3491,-91.4974
London,61,39.8935,-83.4375
Vallejo,1096,38.1125,-122.2342
Hayward,2544,37.6328,-122.0766
Walnut Creek,992,37.9024,-122.0399
Cupertino,597,37.3168,-122.0466
San Jose,7951,37.3012,-121.848
Pleasanton,1384,37.6663,-121.8805
San Francisco,3596,37.7558,-122.4449
Orinda,353,37.8808,-122.179
Livermore,1839,37.6868,-121.7607
Cotati,95,38.3278,-122.7092
Concord,1359,37.9722,-122.0016
Sunnyvale,903,37.3836,-122.0255
Sacramento,12011,38.5677,-121.4685
Oakland,5076,37.7904,-122.2166
Morgan Hill,337,37.1325,-121.6419
Petaluma,990,38.2423,-122.6266
Martinez,734,37.9985,-122.1161
Millbrae,192,37.5994,-122.4023
North Highlands,601,38.6713,-121.3721
Windsor,533,38.5422,-122.8089
Alamo,605,26.181,-98.1177
San Martin,96,37.0829,-121.5963
Healdsburg,149,38.6224,-122.8651
Brisbane,140,37.6902,-122.4021
Palo Alto,858,37.3905,-122.1468
Milpitas,791,37.4336,-121.8921
Davis,646,38.5553,-121.737
Elk Grove,782,38.4161,-121.3842
Half Moon Bay,254,37.4685,-122.4382
Menlo Park,423,37.4685,-122.1673
Tracy,1859,37.7269,-121.4523
Carmichael,490,38.6318,-121.3263
Granite Bay,148,38.7601,-121.1714
Union City,660,37.6032,-122.0181
Pleasant Hill,308,37.9539,-122.0759
San Mateo,1455,37.5522,-122.3121
Rancho Cordova,619,38.5737,-121.2527
Nevada City,202,39.2607,-121.0231
Vacaville,683,38.3587,-121.9673
Roseville,1233,38.7703,-121.3196
Isleton,136,38.1617,-121.6051
