Date,City,Accidents,lat,lng
2016-01,Whitehall,7,39.9682,-82.8833
2016-04,Los Angeles,1505,34.1141,-118.4068
2016-04,Sacramento,863,38.5677,-121.4685
2016-04,San Jose,469,37.3012,-121.848
2016-04,Omaha,446,41.2627,-96.0529
2016-04,San Diego,392,32.8313,-117.1222
2016-04,Dayton,280,39.7805,-84.2003
2016-04,Oakland,245,37.7904,-122.2166
2016-04,Long Beach,231,33.7977,-118.167
2016-04,Columbus,217,39.9862,-82.9855
2016-04,San Francisco,183,37.7558,-122.4449
2016-04,Riverside,178,33.9381,-117.3949
2016-04,Corona,149,33.8616,-117.5649
2016-04,Anaheim,143,33.839,-117.8574
2016-04,Whittier,141,33.9678,-118.0188
2016-04,Hayward,127,37.6328,-122.0766
2016-04,San Bernardino,124,34.1416,-117.2943
2016-04,Fremont,119,37.5265,-121.9843
2016-04,Diamond Bar,118,33.9992,-117.8161
2016-04,Livermore,116,37.6868,-121.7607
2016-04,Ontario,114,34.0393,-117.6064
2016-04,Bronx,107,40.8501,-73.8662
2016-04,Stockton,101,37.9765,-121.3109
2016-04,Downey,98,33.9379,-118.1311
2016-04,Baldwin Park,96,34.0829,-117.9722
2016-04,Norwalk,95,33.9069,-118.0829
2016-04,Pasadena,92,29.6575,-95.1498
2016-04,Los Gatos,91,37.2304,-121.9562
2016-04,Santa Rosa,88,38.4458,-122.7067
2016-04,Rowland Heights,83,33.9716,-117.8912
2016-04,Gardena,81,33.8943,-118.3072
2016-04,Redwood City,80,37.5025,-122.2253
2016-04,Santa Clara,80,37.3646,-121.968
2016-04,Irvine,78,33.6772,-117.7738
2016-04,Newark,78,40.7245,-74.1725
2016-04,Cerritos,77,33.8678,-118.0686
2016-04,Tracy,77,37.7269,-121.4523
2016-04,Inglewood,75,33.9566,-118.3444
2016-04,Fairfield,73,38.2583,-122.0335
2016-04,San Mateo,73,37.5522,-122.3121
2016-04,Cincinnati,72,39.1413,-84.506
2016-04,Philadelphia,72,40.0077,-75.1339
2016-04,Brooklyn,71,40.6501,-73.9496
2016-04,West Covina,71,34.0555,-117.9113
2016-04,Petaluma,70,38.2423,-122.6266
2016-04,Pomona,70,34.0585,-117.7626
2016-04,Fontana,66,34.0968,-117.4599
2016-04,San Leandro,65,37.7074,-122.1599
2016-04,Emeryville,64,37.8382,-122.2932
2016-04,Sunnyvale,63,37.3836,-122.0255
2016-04,Glendale,62,33.5791,-112.2311
2016-04,Santa Ana,60,33.7367,-117.8819
2016-04,Compton,59,33.893,-118.2274
2016-04,Glendora,59,34.1449,-117.8467
2016-04,Orange,59,33.8038,-117.8218
2016-04,Richmond,59,37.5295,-77.4756
2016-04,Walnut Creek,58,37.9024,-122.0399
2016-04,Berkeley,56,37.8722,-122.276
2016-04,Mountain View,56,37.4001,-122.0796
2016-04,Hacienda Heights,55,33.997,-117.9727
2016-04,La Puente,55,34.0323,-117.9533
2016-04,Castro Valley,54,37.7088,-122.0626
2016-04,Cleveland,54,41.4764,-81.6805
2016-04,Concord,54,37.9722,-122.0016
2016-04,Pleasanton,54,37.6663,-121.8805
2016-04,Vallejo,54,38.1125,-122.2342
2016-04,Culver City,52,34.0058,-118.3968
2016-04,Napa,52,38.2975,-122.301
2016-04,New York,52,40.6943,-73.9249
2016-04,Palo Alto,52,37.3905,-122.1468
2016-04,Burbank,51,34.1879,-118.3235
2016-04,Colton,51,34.0538,-117.3255
2016-04,El Cajon,50,32.8017,-116.9604
2016-04,Garden Grove,49,33.7787,-117.9601
2016-04,Escondido,48,33.1348,-117.0723
2016-04,Pittsburg,48,38.0182,-121.8965
2016-04,Mission Hills,46,39.0141,-94.6172
2016-04,West Sacramento,46,38.5557,-121.5505
2016-04,Newhall,44,41.9933,-91.9672
2016-04,Santa Barbara,44,34.4285,-119.7202
2016-04,Santa Fe Springs,44,33.9329,-118.0625
2016-04,Carmichael,43,38.6318,-121.3263
2016-04,Azusa,42,34.1386,-117.9124
2016-04,Costa Mesa,42,33.6667,-117.9135
2016-04,Cupertino,42,37.3168,-122.0466
2016-04,Encino,42,34.6518,-105.4586
2016-04,Tustin,42,33.7311,-117.8107
2016-04,Lynwood,41,33.924,-118.2016
2016-04,Milpitas,41,37.4336,-121.8921
2016-04,Providence,41,41.823,-71.4187
2016-04,Elk Grove,40,38.4161,-121.3842
2016-04,Hawthorne,40,33.9147,-118.3476
2016-04,Chula Vista,39,32.6281,-117.0144
2016-04,Los Altos,39,37.3684,-122.0965
2016-04,Bellevue,38,47.5951,-122.1535
2016-04,Martinez,37,37.9985,-122.1161
2016-04,Torrance,37,33.8346,-118.3416
2016-04,El Monte,36,34.0739,-118.0291
2016-04,Redlands,36,34.0512,-117.1712
2016-04,Temecula,36,33.4928,-117.1315
2016-04,Alhambra,35,34.084,-118.1355
2016-04,Fallbrook,35,33.3693,-117.2259
2016-04,San Pablo,35,37.9629,-122.3426
2016-04,Carson,34,33.8374,-118.2559
2016-04,Covina,34,34.0903,-117.8818
2016-04,Perris,34,33.7898,-117.2233
2016-04,South El Monte,34,34.0493,-118.0484
2016-04,Vacaville,34,38.3587,-121.9673
2016-04,Akron,33,41.0798,-81.5219
2016-04,Auburn,33,47.3039,-122.2108
2016-04,Rancho Cucamonga,33,34.1247,-117.5667
2016-04,Bloomington,32,40.4757,-88.9703
2016-04,Dublin,32,37.7161,-121.8963
2016-04,North Highlands,32,38.6713,-121.3721
2016-04,North Hills,32,40.7765,-73.6778
2016-04,Roseville,32,38.7703,-121.3196
2016-04,Salinas,32,36.6883,-121.6317
2016-04,San Dimas,32,34.1082,-117.809
2016-04,Seal Beach,32,33.7542,-118.0714
2016-04,South San Francisco,32,37.6538,-122.4196
2016-04,Union City,32,37.6032,-122.0181
2016-04,Antelope,31,38.7153,-121.361
2016-04,National City,31,32.6654,-117.0983
2016-04,South Gate,31,33.9447,-118.1926
2016-04,Bellflower,30,33.888,-118.1271
2016-04,Oxnard,30,34.1964,-119.1815
2016-04,Rancho Cordova,30,38.5737,-121.2527
2016-04,Acton,29,34.4956,-118.1858
2016-04,Antioch,29,37.9787,-121.796
2016-04,San Marcos,29,33.135,-117.1743
2016-04,Westminster,29,39.8837,-105.0624
2016-04,Woodland Hills,29,40.0132,-111.6558
2016-04,Brea,28,33.9254,-117.8655
2016-04,Fair Oaks,28,38.8653,-77.3586
2016-04,Hartford,28,41.7661,-72.6834
2016-04,Louisville,28,38.1663,-85.6485
2016-04,Moreno Valley,28,33.9244,-117.2045
2016-04,Sunol,28,37.59,-121.8847
2016-04,Alamo,27,26.181,-98.1177
2016-04,Arcadia,27,34.1342,-118.0373
2016-04,Chino,27,33.9836,-117.6654
2016-04,Danville,27,37.8121,-121.9698
2016-04,La Mesa,27,32.7703,-117.0204
2016-04,Lakeside,27,30.1356,-81.7674
2016-04,Lodi,27,38.1218,-121.2932
2016-04,Malibu,27,34.037,-118.7839
2016-04,Manteca,27,37.7927,-121.2264
2016-04,Monterey Park,27,34.0497,-118.1326
2016-04,Placerville,27,38.7308,-120.7979
2016-04,Watsonville,27,36.9206,-121.7708
2016-04,Fullerton,26,33.8841,-117.9279
2016-04,Menlo Park,26,37.4685,-122.1673
2016-04,Rosemead,26,34.0689,-118.0823
2016-04,San Rafael,26,37.9905,-122.5221
2016-04,Buena Park,25,33.8572,-118.0046
2016-04,Calabasas,25,34.1375,-118.6689
2016-04,Camarillo,25,34.223,-119.0321
2016-04,Dixon,25,38.4469,-121.825
2016-04,Lawndale,25,33.8884,-118.3531
2016-04,Novato,25,38.092,-122.5575
2016-04,Orinda,25,37.8808,-122.179
2016-04,Paramount,25,33.8977,-118.1651
2016-04,Santa Monica,25,34.0235,-118.481
2016-04,Daly City,24,37.6862,-122.4685
2016-04,Davis,24,38.5553,-121.737
2016-04,Fountain Valley,24,33.7105,-117.9514
2016-04,Jamaica,24,41.8454,-94.307
2016-04,Lafayette,24,30.2082,-92.0325
2016-04,Lake Elsinore,24,33.6847,-117.3344
2016-04,Palm Desert,24,33.7378,-116.3695
2016-04,Sun Valley,24,39.6104,-119.777
2016-04,Carlsbad,23,33.1246,-117.2834
2016-04,Flushing,23,43.0637,-83.8403
2016-04,Murrieta,23,33.5719,-117.1909
2016-04,Spring Valley,23,36.0952,-115.2636
2016-04,Syracuse,23,43.0407,-76.1437
2016-04,Castaic,22,34.4818,-118.6316
2016-04,Pittsburgh,22,40.4397,-79.9763
2016-04,Vista,22,33.1896,-117.2386
2016-04,Walnut,22,34.0334,-117.8593
2016-04,Citrus Heights,21,38.6948,-121.288
2016-04,Desert Hot Springs,21,33.955,-116.5429
2016-04,Goleta,21,34.4361,-119.8594
2016-04,Jersey City,21,40.7184,-74.0686
2016-04,Mission Viejo,21,33.6096,-117.6551
2016-04,Palmdale,21,34.5944,-118.1057
2016-04,Ramona,21,33.0474,-116.8766
2016-04,Rocklin,21,38.8075,-121.2489
2016-04,San Juan Capistrano,21,33.5008,-117.6544
2016-04,San Ramon,21,37.7624,-121.9365
2016-04,Toledo,21,41.6638,-83.5827
2016-04,Modesto,20,37.6375,-121.0028
2016-04,Pinole,20,37.9931,-122.2833
2016-04,Santa Cruz,20,36.9789,-122.0346
2016-04,Staten Island,20,40.5834,-74.1496
2016-04,Trenton,20,40.2237,-74.7641
2016-04,Ventura,20,32.2438,-107.6832
2016-04,Elkhorn,19,42.6713,-88.5377
2016-04,French Camp,19,37.8803,-121.2803
2016-04,Grass Valley,19,39.2238,-121.0522
2016-04,Montebello,19,34.0155,-118.1108
2016-04,Valencia,19,34.8053,-106.6868
2016-04,Charleston,18,32.8168,-79.9687
2016-04,Corte Madera,18,37.9238,-122.5128
2016-04,Duarte,18,34.161,-117.9504
2016-04,Hemet,18,33.7341,-116.9969
2016-04,Hercules,18,38.0064,-122.2564
2016-04,Lemon Grove,18,32.7331,-117.0344
2016-04,Monrovia,18,34.165,-117.9921
2016-04,Morgan Hill,18,37.1325,-121.6419
2016-04,Santee,18,32.8554,-116.9851
2016-04,Bakersfield,17,35.3529,-119.0359
2016-04,Calistoga,17,38.5818,-122.5824
2016-04,El Dorado Hills,17,38.675,-121.049
2016-04,Half Moon Bay,17,37.4685,-122.4382
2016-04,Hollister,17,36.8555,-121.3986
2016-04,New Haven,17,41.3113,-72.9246
2016-04,Phelan,17,34.4398,-117.5248
2016-04,San Bruno,17,37.6256,-122.4313
2016-04,Sausalito,17,37.8581,-122.4933
2016-04,Sonoma,17,38.2902,-122.4598
2016-04,Upland,17,34.1178,-117.6604
2016-04,Westlake Village,17,34.1369,-118.822
2016-04,Woodside,17,37.4221,-122.2586
2016-04,Altadena,16,34.1927,-118.1346
2016-04,Des Moines,16,41.5725,-93.6105
2016-04,Galt,16,38.2698,-121.3004
2016-04,Los Alamitos,16,33.7971,-118.0592
2016-04,San Clemente,16,33.4499,-117.6102
2016-04,San Gabriel,16,34.0949,-118.099
2016-04,Wilmington,16,34.2099,-77.8866
2016-04,Albany,15,42.6664,-73.7987
2016-04,Benicia,15,38.0725,-122.1526
2016-04,Hesperia,15,34.3975,-117.3147
2016-04,Thousand Oaks,15,34.1914,-118.8756
2016-04,Woodland,15,38.6712,-121.75
2016-04,Agoura Hills,14,34.151,-118.7609
2016-04,Aptos,14,36.9912,-121.8934
2016-04,Bell Gardens,14,33.9663,-118.155
2016-04,Claremont,14,34.1259,-117.7153
2016-04,Gilroy,14,37.0046,-121.5854
2016-04,Kearny,14,40.7528,-74.1202
2016-04,La Vista,14,41.1816,-96.0664
2016-04,Oceanside,14,33.2247,-117.3083
2016-04,Pawtucket,14,41.8744,-71.3743
2016-04,San Pedro,14,25.9812,-97.5882
2016-04,Simi Valley,14,34.2663,-118.749
2016-04,Belmont,13,37.5154,-122.2953
2016-04,Cotati,13,38.3278,-122.7092
2016-04,Crockett,13,31.3177,-95.4564
2016-04,Del Mar,13,32.9635,-117.2624
2016-04,Encinitas,13,33.0492,-117.261
2016-04,La Verne,13,34.1207,-117.7703
2016-04,Linden,13,40.6251,-74.2383
2016-04,Papillion,13,41.1511,-96.0665
2016-04,Rohnert Park,13,38.3479,-122.6965
2016-04,Valley Springs,13,38.1694,-120.826
2016-04,Windsor,13,38.5422,-122.8089
2016-04,Acampo,12,38.1735,-121.2797
2016-04,Allentown,12,40.5961,-75.4756
2016-04,Artesia,12,33.8676,-118.0805
2016-04,Astoria,12,46.1856,-123.8053
2016-04,Beaumont,12,30.0849,-94.1451
2016-04,Brentwood,12,37.9356,-121.719
2016-04,Folsom,12,38.6668,-121.1422
2016-04,Fort Lee,12,40.8509,-73.9713
2016-04,Lakewood,12,39.6977,-105.1172
2016-04,Miamisburg,12,39.6322,-84.2724
2016-04,Mill Valley,12,37.9086,-122.5421
2016-04,Montclair,12,34.0715,-117.6981
2016-04,Pleasant Hill,12,37.9539,-122.0759
2016-04,Bellmawr,11,39.8666,-75.0941
2016-04,Brisbane,11,37.6902,-122.4021
2016-04,Campbell,11,37.2802,-121.9539
2016-04,Council Bluffs,11,41.2369,-95.8516
2016-04,Cranston,11,41.7658,-71.4858
2016-04,El Sobrante,11,33.8724,-117.4624
2016-04,Forestville,11,38.8518,-76.8708
2016-04,Granite Bay,11,38.7601,-121.1714
2016-04,Isleton,11,38.1617,-121.6051
2016-04,Rialto,11,34.1175,-117.3892
2016-04,Sebastopol,11,38.4001,-122.8275
2016-04,Shingle Springs,11,38.6665,-120.9371
2016-04,Springfield,11,42.1155,-72.5395
2016-04,Union,11,38.4399,-90.9927
2016-04,Cabazon,10,33.9127,-116.7828
2016-04,Canton,10,40.8078,-81.3676
2016-04,Huntington Beach,10,33.696,-118.0018
2016-04,Huntington Park,10,33.98,-118.2167
2016-04,Lathrop,10,37.809,-121.3131
2016-04,Loomis,10,38.8093,-121.1955
2016-04,Merrick,10,40.6515,-73.5535
2016-04,Paterson,10,40.9147,-74.1624
2016-04,Ripon,10,37.7417,-121.131
2016-04,San Juan Bautista,10,36.845,-121.5371
2016-04,Scotts Valley,10,37.0555,-122.0118
2016-04,Soquel,10,36.9978,-121.9483
2016-04,Warwick,10,41.7062,-71.4334
2016-04,Waterbury,10,41.5582,-73.0361
2016-04,Alpine,9,32.8439,-116.7585
2016-04,Bridgewater,9,38.3862,-78.9674
2016-04,Frankfort,9,38.1924,-84.8643
2016-04,Grove City,9,39.8654,-83.069
2016-04,Healdsburg,9,38.6224,-122.8651
2016-04,Manchester,9,42.9848,-71.4447
2016-04,Menifee,9,33.6909,-117.1849
2016-04,Millbrae,9,37.5994,-122.4023
2016-04,Rio Linda,9,38.6875,-121.4417
2016-04,San Lorenzo,9,37.6733,-122.1332
2016-04,San Ysidro,9,32.3568,-106.8129
2016-04,South Pasadena,9,34.1103,-118.1573
2016-04,Stevenson Ranch,9,34.3894,-118.5883
2016-04,Sun City,9,33.6165,-112.2819
2016-04,Thousand Palms,9,33.815,-116.3545
2016-04,Troy,9,42.5817,-83.1457
2016-04,Valley Center,9,33.233,-117.0158
2016-04,Victorville,9,34.5277,-117.3536
2016-04,White Plains,9,41.022,-73.7547
2016-04,Woodbury,9,44.9057,-92.923
2016-04,Big Bear City,8,34.2536,-116.7903
2016-04,Bowling Green,8,36.9716,-86.4378
2016-04,Cambridge,8,42.3759,-71.1185
2016-04,Chatsworth,8,34.7808,-84.7835
2016-04,Cherry Hill,8,38.5696,-77.2895
2016-04,Clifton,8,40.863,-74.1575
2016-04,Edison,8,31.5608,-84.7374
2016-04,Greenfield,8,42.9619,-88.0052
2016-04,Hackensack,8,40.8891,-74.0462
2016-04,Irvington,8,41.0349,-73.866
2016-04,Milford,8,38.9091,-75.4227
2016-04,Nevada City,8,39.2607,-121.0231
2016-04,New Albany,8,38.309,-85.8234
2016-04,Pickerington,8,39.889,-82.7678
2016-04,Placentia,8,33.8807,-117.8553
2016-04,Rio Vista,8,38.1765,-121.7025
2016-04,Rodeo,8,38.0367,-122.2526
2016-04,San Andreas,8,38.1911,-120.6763
2016-04,Santa Clarita,8,34.4175,-118.4964
2016-04,Stamford,8,41.1039,-73.5585
2016-04,American Canyon,7,38.1796,-122.2583
2016-04,Banning,7,33.946,-116.8992
2016-04,Bethlehem,7,40.6266,-75.3679
2016-04,Bonita,7,32.6651,-117.0296
2016-04,Boston,7,42.3188,-71.0852
2016-04,Bridgeport,7,41.1918,-73.1954
2016-04,Carmel,7,39.965,-86.146
2016-04,Cedar Knolls,7,40.8199,-74.4551
2016-04,Chino Hills,7,33.9508,-117.7254
2016-04,Elmwood Park,7,41.9225,-87.8163
2016-04,Fresno,7,36.783,-119.7939
2016-04,Independence,7,39.0871,-94.3501
2016-04,Indio,7,33.7346,-116.2346
2016-04,Kansas City,7,39.1238,-94.5541
2016-04,King of Prussia,7,40.0963,-75.3821
2016-04,Lexington,7,38.0423,-84.4587
2016-04,Newcastle,7,47.5304,-122.1633
2016-04,Paramus,7,40.9455,-74.0712
2016-04,San Carlos,7,37.4982,-122.2677
2016-04,Winchester,7,39.1735,-78.1746
2016-04,Angola,6,41.6433,-85.005
2016-04,Bay Point,6,38.0329,-121.9615
2016-04,Beaver Falls,6,40.7619,-80.3226
2016-04,Binghamton,6,42.1014,-75.9093
2016-04,Burlingame,6,37.5859,-122.3667
2016-04,Byron,6,44.0378,-92.6409
2016-04,Capitola,6,36.9773,-121.9537
2016-04,Carpinteria,6,34.3962,-119.5118
2016-04,Covington,6,39.0334,-84.5166
2016-04,Cranford,6,40.6548,-74.3053
2016-04,East Orange,6,40.7651,-74.2117
2016-04,Easton,6,40.6858,-75.2209
2016-04,El Segundo,6,33.917,-118.4018
2016-04,Forest Hills,6,42.9577,-85.4895
2016-04,Goshen,6,41.5743,-85.8309
2016-04,Gretna,6,29.9101,-90.0515
2016-04,Indianapolis,6,39.7771,-86.1458
2016-04,Ione,6,38.3613,-120.9422
2016-04,Jackson,6,32.3157,-90.2125
2016-04,Laguna Hills,6,33.5918,-117.6991
2016-04,Lake Forest,6,33.6605,-117.6714
2016-04,Lancaster,6,40.042,-76.3012
2016-04,Larkspur,6,37.9393,-122.5312
2016-04,Lincoln,6,40.8099,-96.6784
2016-04,Loma Linda,6,34.045,-117.2498
2016-04,Montrose,6,38.4689,-107.859
2016-04,Moss Landing,6,36.8019,-121.7872
2016-04,Orangevale,6,38.6881,-121.2209
2016-04,Perrysburg,6,41.5377,-83.6413
2016-04,Pleasantville,6,39.39,-74.5169
2016-04,San Fernando,6,34.2886,-118.4362
2016-04,Signal Hill,6,33.803,-118.1681
2016-04,Westerville,6,40.1241,-82.921
2016-04,Westport,6,35.5103,-80.9783
2016-04,Absecon,5,39.4229,-74.4944
2016-04,Aguanga,5,33.4522,-116.8555
2016-04,Boulevard,5,32.664,-116.2896
2016-04,Bronxville,5,40.9395,-73.8265
2016-04,Calimesa,5,33.9874,-117.0542
2016-04,Castroville,5,36.7649,-121.7534
2016-04,Cedar Rapids,5,41.9662,-91.6783
2016-04,Cheshire,5,44.1901,-123.2834
2016-04,Chester,5,39.8456,-75.3718
2016-04,Clarksburg,5,39.2246,-77.2659
2016-04,Clarksville,5,36.5692,-87.3413
2016-04,Coronado,5,32.6649,-117.1604
2016-04,Elizabeth,5,40.6658,-74.1913
2016-04,Elmhurst,5,41.8973,-87.9432
2016-04,Erlanger,5,39.0109,-84.5864
2016-04,Farmington,5,36.7555,-108.1823
2016-04,Fort Wayne,5,41.0888,-85.1436
2016-04,Grand Terrace,5,34.0312,-117.3132
2016-04,Greenwich,5,41.0318,-82.5198
2016-04,Hammonton,5,39.6572,-74.7678
2016-04,Iselin,5,40.5697,-74.3172
2016-04,Julian,5,33.0735,-116.5889
2016-04,Lansdale,5,40.2417,-75.2812
2016-04,Liberty,5,39.2394,-94.4191
2016-04,Manhasset,5,40.7884,-73.6943
2016-04,Marcus Hook,5,39.8131,-75.4165
2016-04,Moss Beach,5,37.5184,-122.5036
2016-04,Norco,5,33.9252,-117.5498
2016-04,Nyack,5,41.0919,-73.9143
2016-04,Ojai,5,34.4488,-119.2469
2016-04,Pacifica,5,37.6113,-122.4782
2016-04,Pataskala,5,40.011,-82.7155
2016-04,Portola Valley,5,37.3711,-122.2202
2016-04,Ray,5,48.3416,-103.1636
2016-04,Reynoldsburg,5,39.9588,-82.7943
2016-04,Running Springs,5,34.2104,-117.1147
2016-04,Schenectady,5,42.8025,-73.9275
2016-04,Seaside,5,36.6224,-121.8199
2016-04,Suisun City,5,38.2473,-122.0091
2016-04,Thornville,5,39.8944,-82.4203
2016-04,Trabuco Canyon,5,33.6782,-117.5939
2016-04,Van Horne,5,42.0083,-92.0897
2016-04,Wantagh,5,40.6686,-73.5104
2016-04,West Chester,5,39.9601,-75.6058
2016-04,Whitestone,5,64.1527,-145.9061
2016-04,Worcester,5,42.2705,-71.8079
2016-04,Xenia,5,39.6829,-83.9413
2016-04,Yonkers,5,40.9466,-73.8673
2016-04,Alliance,4,40.9107,-81.1189
2016-04,Andover,4,45.2571,-93.3265
2016-04,Apple Valley,4,34.5352,-117.2109
2016-04,Bayside,4,43.1827,-87.9017
