Month_Year,City,Accidents
2016-01,Whitehall,7
2016-04,Los Angeles,1505
2016-04,Sacramento,863
2016-04,San Jose,469
2016-04,Omaha,446
2016-04,San Diego,392
2016-04,Dayton,280
2016-04,Oakland,245
2016-04,Long Beach,231
2016-04,Columbus,217
2016-04,San Francisco,183
2016-04,Riverside,178
2016-04,Corona,149
2016-04,Anaheim,143
2016-04,Whittier,141
2016-04,Hayward,127
2016-04,San Bernardino,124
2016-04,Fremont,119
2016-04,Diamond Bar,118
2016-04,Livermore,116
2016-04,Ontario,114
2016-04,Bronx,107
2016-04,Stockton,101
2016-04,Downey,98
2016-04,Baldwin Park,96
2016-04,Norwalk,95
2016-04,Pasadena,92
2016-04,Los Gatos,91
2016-04,Sherman Oaks,89
2016-04,Santa Rosa,88
2016-04,Rowland Heights,83
2016-04,Gardena,81
2016-04,Redwood City,80
2016-04,Santa Clara,80
2016-04,Irvine,78
2016-04,Newark,78
2016-04,Cerritos,77
2016-04,Tracy,77
2016-04,Inglewood,75
2016-04,Fairfield,73
2016-04,San Mateo,73
2016-04,Cincinnati,72
2016-04,Philadelphia,72
2016-04,Brooklyn,71
2016-04,West Covina,71
2016-04,Petaluma,70
2016-04,Pomona,70
2016-04,Fontana,66
2016-04,San Leandro,65
2016-04,Emeryville,64
2016-04,Sylmar,64
2016-04,Sunnyvale,63
2016-04,Glendale,62
2016-04,Santa Ana,60
2016-04,Compton,59
2016-04,Glendora,59
2016-04,Orange,59
2016-04,Richmond,59
2016-04,Walnut Creek,58
2016-04,Berkeley,56
2016-04,Mountain View,56
2016-04,Hacienda Heights,55
2016-04,La Puente,55
2016-04,Castro Valley,54
2016-04,Cleveland,54
2016-04,Concord,54
2016-04,Pleasanton,54
2016-04,Vallejo,54
2016-04,Culver City,52
2016-04,Napa,52
2016-04,New York,52
2016-04,Palo Alto,52
2016-04,Burbank,51
2016-04,Colton,51
2016-04,Van Nuys,51
2016-04,El Cajon,50
2016-04,Garden Grove,49
2016-04,Escondido,48
2016-04,Pittsburg,48
2016-04,Mission Hills,46
2016-04,West Sacramento,46
2016-04,North Hollywood,45
2016-04,Pacoima,45
2016-04,Newhall,44
2016-04,Santa Barbara,44
2016-04,Santa Fe Springs,44
2016-04,Carmichael,43
2016-04,Azusa,42
2016-04,Costa Mesa,42
2016-04,Cupertino,42
2016-04,Encino,42
2016-04,Tustin,42
2016-04,Lynwood,41
2016-04,Milpitas,41
2016-04,Providence,41
2016-04,Elk Grove,40
2016-04,Hawthorne,40
2016-04,Chula Vista,39
2016-04,Los Altos,39
2016-04,Bellevue,38
2016-04,Martinez,37
2016-04,Torrance,37
2016-04,El Monte,36
2016-04,Mira Loma,36
2016-04,Redlands,36
2016-04,Temecula,36
2016-04,Alhambra,35
2016-04,Fallbrook,35
2016-04,San Pablo,35
2016-04,Carson,34
2016-04,Covina,34
2016-04,Granada Hills,34
2016-04,Perris,34
2016-04,South El Monte,34
2016-04,Vacaville,34
2016-04,Akron,33
2016-04,Auburn,33
2016-04,Rancho Cucamonga,33
2016-04,Bloomington,32
2016-04,Dublin,32
2016-04,North Highlands,32
2016-04,North Hills,32
2016-04,Roseville,32
2016-04,Salinas,32
2016-04,San Dimas,32
2016-04,Seal Beach,32
