Start_Time,City,State,Average_Severity
2016-04-01,Los Angeles,CA,2.5172413793103448
2016-04-01,New York,NY,2.5
2016-04-01,Philadelphia,PA,2.0
2016-04-01,San Diego,CA,2.619047619047619
2016-04-01,San Francisco,CA,2.375
2016-04-02,Charlotte,IA,4.0
2016-04-02,Los Angeles,CA,2.4827586206896552
2016-04-02,San Diego,CA,2.5
2016-04-02,San Francisco,CA,3.0
2016-04-03,Los Angeles,CA,2.5483870967741935
2016-04-03,New York,NY,3.0
2016-04-03,San Diego,CA,3.0
2016-04-03,San Francisco,CA,3.0
2016-04-04,Los Angeles,CA,2.5142857142857142
2016-04-04,New York,NY,2.0
2016-04-04,Philadelphia,PA,3.3333333333333335
2016-04-04,San Diego,CA,2.5555555555555554
2016-04-04,San Francisco,CA,2.3333333333333335
2016-04-05,Boston,MA,2.0
2016-04-05,Los Angeles,CA,2.360655737704918
2016-04-05,New York,NY,3.0
2016-04-05,Philadelphia,PA,2.0
2016-04-05,Pittsburgh,PA,2.0
2016-04-05,San Diego,CA,2.272727272727273
2016-04-05,San Francisco,CA,2.5
2016-04-06,Kansas City,MO,2.0
2016-04-06,Los Angeles,CA,2.3548387096774195
2016-04-06,New York,NY,2.8
2016-04-06,Philadelphia,PA,2.3333333333333335
2016-04-06,San Diego,CA,2.5555555555555554
2016-04-06,San Francisco,CA,2.3333333333333335
2016-04-07,Boston,MA,2.5
2016-04-07,Indianapolis,IN,2.0
2016-04-07,Los Angeles,CA,2.4318181818181817
2016-04-07,New York,NY,2.5
2016-04-07,Philadelphia,PA,2.4
2016-04-07,San Diego,CA,2.6097560975609757
2016-04-07,San Francisco,CA,2.4545454545454546
2016-04-08,Los Angeles,CA,2.45
2016-04-08,Philadelphia,PA,3.142857142857143
2016-04-08,San Diego,CA,2.4166666666666665
2016-04-08,San Francisco,CA,2.5
2016-04-09,Los Angeles,CA,2.441860465116279
2016-04-09,San Diego,CA,2.0
2016-04-09,San Francisco,CA,2.6
2016-04-10,Los Angeles,CA,2.4571428571428573
2016-04-10,San Diego,CA,2.5714285714285716
2016-04-10,San Francisco,CA,2.5
2016-04-11,Kansas City,MO,2.0
2016-04-11,Los Angeles,CA,2.4210526315789473
2016-04-11,New York,NY,2.0
2016-04-11,Philadelphia,PA,2.0
2016-04-11,San Diego,CA,2.857142857142857
2016-04-11,San Francisco,CA,2.272727272727273
2016-04-12,Boston,MA,2.0
2016-04-12,Los Angeles,CA,2.4193548387096775
2016-04-12,New York,NY,2.5
2016-04-12,Philadelphia,PA,2.0
2016-04-12,Pittsburgh,PA,4.0
2016-04-12,San Diego,CA,2.3333333333333335
2016-04-12,San Francisco,CA,2.4444444444444446
2016-04-13,Kansas City,MO,2.0
2016-04-13,Los Angeles,CA,2.4210526315789473
2016-04-13,New York,NY,2.0
2016-04-13,Philadelphia,PA,2.4
2016-04-13,Pittsburgh,PA,2.0
2016-04-13,San Diego,CA,2.4375
2016-04-13,San Francisco,CA,2.3
2016-04-14,Indianapolis,IN,2.0
2016-04-14,Kansas City,MO,4.0
2016-04-14,Los Angeles,CA,2.5172413793103448
2016-04-14,Philadelphia,PA,2.0
2016-04-14,Pittsburgh,PA,3.7142857142857144
2016-04-14,San Diego,CA,2.526315789473684
2016-04-14,San Francisco,CA,2.1666666666666665
2016-04-15,Los Angeles,CA,2.5
2016-04-17,Los Angeles,CA,2.3333333333333335
2016-04-17,New York,NY,3.0
2016-04-17,San Diego,CA,3.0
2016-04-17,San Francisco,CA,2.0
