Date,City,State,Weather_Score,Average_Severity
2016-04-01,Los Angeles,CA,1.520402887609818,2.5172413793103448
2016-04-01,San Diego,CA,1.3888060066144612,2.619047619047619
2016-04-01,San Francisco,CA,1.6678257682135704,2.375
2016-04-01,New York,NY,1.5748981593433853,2.5
2016-04-01,Philadelphia,PA,1.662806969550206,2.0
2016-04-02,Los Angeles,CA,1.3846313839311148,2.4827586206896552
2016-04-02,San Diego,CA,1.3115069486359112,2.5
2016-04-02,San Francisco,CA,1.539219003723177,3.0
2016-04-02,Charlotte,IA,1.351740006083697,4.0
2016-04-03,Los Angeles,CA,1.626758206343904,2.548387096774193
2016-04-03,San Diego,CA,1.4419227281732252,3.0
2016-04-03,San Francisco,CA,1.2484257487476789,3.0
2016-04-03,New York,NY,1.443894215787557,3.0
2016-04-04,Los Angeles,CA,1.5462139273315552,2.5142857142857142
2016-04-04,San Diego,CA,1.6383985096073128,2.555555555555556
2016-04-04,San Francisco,CA,1.75580892822021,2.333333333333333
2016-04-04,New York,NY,1.4875188023214887,2.0
2016-04-04,Philadelphia,PA,1.575520493966612,3.333333333333333
2016-04-05,Los Angeles,CA,1.46172758263424,2.360655737704918
2016-04-05,San Diego,CA,1.4062324057495177,2.272727272727273
2016-04-05,San Francisco,CA,1.7377992594520602,2.5
2016-04-05,Boston,MA,1.640883046540936,2.0
2016-04-05,New York,NY,1.514158967120134,3.0
2016-04-05,Philadelphia,PA,1.244499178746596,2.0
2016-04-05,Pittsburgh,PA,1.5480001423642658,2.0
2016-04-06,Los Angeles,CA,1.500443408942512,2.3548387096774195
2016-04-06,San Diego,CA,1.511285118292369,2.555555555555556
2016-04-06,San Francisco,CA,1.444791295807832,2.333333333333333
2016-04-06,Kansas City,MO,1.4551197788184067,2.0
2016-04-06,New York,NY,1.3922821541169672,2.8
2016-04-06,Philadelphia,PA,1.3178469346895507,2.333333333333333
2016-04-07,Los Angeles,CA,1.393561091169433,2.4318181818181817
2016-04-07,San Diego,CA,1.688346555366896,2.609756097560976
2016-04-07,San Francisco,CA,1.5997519021910915,2.4545454545454546
2016-04-07,Indianapolis,IN,1.6425545851408812,2.0
2016-04-07,Boston,MA,1.8733604912152333,2.5
2016-04-07,New York,NY,1.733970507858977,2.5
2016-04-07,Philadelphia,PA,1.616407611500908,2.4
2016-04-08,Los Angeles,CA,1.2137000346227933,2.45
2016-04-08,San Diego,CA,1.4263972134442586,2.4166666666666665
2016-04-08,San Francisco,CA,1.4374272274680608,2.5
2016-04-08,Philadelphia,PA,1.2695969841362795,3.142857142857143
2016-04-09,Los Angeles,CA,1.7707376529448704,2.441860465116279
2016-04-09,San Diego,CA,1.2651663896675371,2.0
2016-04-09,San Francisco,CA,1.594361141471035,2.6
2016-04-10,Los Angeles,CA,1.331666996593764,2.4571428571428573
2016-04-10,San Diego,CA,1.5591395587091417,2.571428571428572
2016-04-10,San Francisco,CA,1.5164419229160435,2.5
2016-04-11,Los Angeles,CA,1.360525965206107,2.421052631578948
2016-04-11,San Diego,CA,1.178639502792008,2.857142857142857
2016-04-11,San Francisco,CA,1.4097854805111796,2.272727272727273
2016-04-11,Kansas City,MO,1.451974250161667,2.0
2016-04-11,New York,NY,1.6333095375800335,2.0
2016-04-11,Philadelphia,PA,1.6077411416311644,2.0
2016-04-12,Los Angeles,CA,1.512795034961662,2.419354838709677
2016-04-12,San Diego,CA,1.357315471569496,2.333333333333333
2016-04-12,San Francisco,CA,1.6509114097596496,2.4444444444444446
2016-04-12,Boston,MA,1.4506039967428723,2.0
2016-04-12,New York,NY,1.452520385810242,2.5
2016-04-12,Philadelphia,PA,1.465358139666254,2.0
