City,Date,Score
Albuquerque,2016-01-01,1.2476496581775256
Atlanta,2016-01-01,1.5512378426384505
Boston,2016-01-01,1.2894726746941134
Charlotte,2016-01-01,1.500627052477364
Chicago,2016-01-01,1.5230701725308422
Dallas,2016-01-01,1.6561697471367434
Denver,2016-01-01,1.7018296122072536
Detroit,2016-01-01,1.484161392070166
Houston,2016-01-01,1.5025783722181307
Indianapolis,2016-01-01,1.761494216550984
Jacksonville,2016-01-01,1.5600312514379746
Kansas City,2016-01-01,1.2558563195047885
Las Vegas,2016-01-01,1.6851104314087264
Los Angeles,2016-01-01,1.4113004542781982
Miami,2016-01-01,1.6841761540697036
Minneapolis,2016-01-01,1.6248850079217987
Nashville,2016-01-01,1.820627809424599
New York,2016-01-01,1.152930978174599
Philadelphia,2016-01-01,1.3740679266440035
Phoenix,2016-01-01,1.493875997196653
Pittsburgh,2016-01-01,1.4614728478683752
Portland,2016-01-01,1.4541169453869123
San Antonio,2016-01-01,1.266915986812254
San Diego,2016-01-01,1.3435164087215992
San Francisco,2016-01-01,1.7095980991398985
Seattle,2016-01-01,1.4119167899252048
Vancouver,2016-01-01,1.3939477465141576
Albuquerque,2016-01-02,1.3661433205689266
Atlanta,2016-01-02,1.5552613869303542
Boston,2016-01-02,1.5292744953557975
Charlotte,2016-01-02,1.1672284564607973
Chicago,2016-01-02,1.259481843448642
Dallas,2016-01-02,1.5344353720338308
Denver,2016-01-02,1.745569400422662
Detroit,2016-01-02,1.5172993904601082
Houston,2016-01-02,1.5149378535490554
Indianapolis,2016-01-02,1.7260766748988519
Jacksonville,2016-01-02,1.5363935394382489
Kansas City,2016-01-02,1.543298183595445
Las Vegas,2016-01-02,1.2232201343606735
Los Angeles,2016-01-02,1.1203380594251917
Miami,2016-01-02,1.4571035142361128
Minneapolis,2016-01-02,1.6184641097505434
Nashville,2016-01-02,1.552005604460416
New York,2016-01-02,1.2733886178354055
Philadelphia,2016-01-02,1.5317641153862351
Phoenix,2016-01-02,1.624021287046263
Pittsburgh,2016-01-02,1.6203006489494562
Portland,2016-01-02,1.3902730113187056
San Antonio,2016-01-02,1.6312418183414958
San Diego,2016-01-02,1.4697732587328078
San Francisco,2016-01-02,1.7776299604253722
Seattle,2016-01-02,1.5690126758185088
Vancouver,2016-01-02,1.5690315249344267
Albuquerque,2016-01-03,1.1863032345291695
Atlanta,2016-01-03,1.8368829237778228
Boston,2016-01-03,1.5833691251309248
