State,score,Date
AR,1.3641109611909137,2016-01
AZ,1.2422648103003002,2016-01
CA,1.1712674431948626,2016-01
CO,0.9587651300373538,2016-01
CT,1.2853772320958303,2016-01
FL,1.31488364247824,2016-01
GA,1.1562819007199194,2016-01
IA,1.1443092693496415,2016-01
IL,1.3080594100220777,2016-01
IN,1.1810347530231455,2016-01
KS,1.205972383490663,2016-01
MA,1.351932584405798,2016-01
MD,1.147355718206008,2016-01
ME,1.2853772320958303,2016-01
MI,1.228553137831771,2016-01
MN,1.3754564461714964,2016-01
MO,1.205972383490663,2016-01
NC,1.1888043169910438,2016-01
NM,0.9867455077678391,2016-01
NV,0.90323890230365,2016-01
NY,1.0897666295676056,2016-01
OK,1.3371739023945928,2016-01
OR,1.2294015908466014,2016-01
PA,1.1973397837804465,2016-01
TN,1.1617823538833731,2016-01
TX,1.2099838020545113,2016-01
WA,1.4252027541870518,2016-01
AR,1.2699948409952586,2016-04
AZ,0.9627419474481841,2016-04
CA,1.1815264252405786,2016-04
CO,1.100337993479931,2016-04
CT,1.1624039075467123,2016-04
FL,1.2207061009010818,2016-04
GA,1.2145993810345006,2016-04
IA,1.1073878628533098,2016-04
IL,1.2000418653540665,2016-04
IN,1.2113594046150495,2016-04
KS,1.137554775990189,2016-04
MA,1.2644874934501855,2016-04
MD,0.8106788159102045,2016-04
ME,1.1624039075467123,2016-04
MI,1.1520792369271164,2016-04
MN,1.2159646564121926,2016-04
MO,1.137554775990189,2016-04
NC,1.1718705429345415,2016-04
NM,0.930381961018989,2016-04
NV,0.8781548810300306,2016-04
NY,1.0980231453670384,2016-04
OK,1.1148050789861637,2016-04
OR,1.1405599071328734,2016-04
PA,1.165423895662707,2016-04
TN,1.0933133866161624,2016-04
TX,1.2816062252708906,2016-04
WA,1.417065697803519,2016-04
AR,1.257903749211244,2016-07
AZ,1.1742419383369094,2016-07
CA,1.2493463390889028,2016-07
CO,0.956006779387972,2016-07
CT,1.135547066055851,2016-07
FL,1.3037272202445018,2016-07
GA,1.1903404078396436,2016-07
IA,1.2868729699655792,2016-07
IL,1.2136380866721124,2016-07
IN,1.2217648214611696,2016-07
KS,1.3149585144563507,2016-07
MA,1.333348174072659,2016-07
MD,1.0591622001225822,2016-07
ME,1.135547066055851,2016-07
MI,1.2072801665747976,2016-07
MN,1.1373645193163668,2016-07
MO,1.3149585144563507,2016-07
NC,1.2099072095960062,2016-07
NM,0.9198825534880766,2016-07
NV,0.8471148277249263,2016-07
NY,1.2025992365037568,2016-07
OK,1.2893216765512368,2016-07
OR,1.1648211791796736,2016-07
PA,1.1590949635926693,2016-07
TN,1.2283236193685692,2016-07
TX,1.2813934788027745,2016-07
WA,1.2872754440559018,2016-07
AR,1.2587448277842366,2016-10
AZ,1.1896589701555502,2016-10
CA,1.2198704047582225,2016-10
CO,0.9390505487958796,2016-10
CT,1.316361087632836,2016-10
FL,1.2509358599252363,2016-10
GA,1.2303354852839745,2016-10
IA,1.158203089077782,2016-10
IL,1.3724983057221352,2016-10
IN,1.358217379898217,2016-10
KS,1.1601642453618588,2016-10
MA,1.5559298831471873,2016-10
MD,1.100078661949336,2016-10
ME,1.316361087632836,2016-10
MI,1.283925111032223,2016-10
MN,1.3322473253263214,2016-10
MO,1.1601642453618588,2016-10
NC,1.2128711323751695,2016-10
NM,1.0378823969837168,2016-10
NV,1.0442173743914558,2016-10
NY,1.4792619958617448,2016-10
OK,1.2792392783617643,2016-10
OR,1.2926606045935134,2016-10
PA,1.2048428830128746,2016-10
TN,1.1841197684883962,2016-10
