city,score,lat,lng
Vancouver,0.4987429037281102,49.24966,-123.119339
Portland,0.4565831352336829,45.523449,-122.676208
San Francisco,0.46169799966993036,37.774929,-122.419418
Seattle,0.49544932456162954,47.606209,-122.332069
Los Angeles,0.42918081553970283,34.052231,-118.243683
San Diego,0.4249284543601472,32.715328,-117.157257
Las Vegas,0.32516948162725223,36.174969,-115.137222
Phoenix,0.31069577084055927,33.44838,-112.074043
Albuquerque,0.36107864737059503,35.084492,-106.651138
Denver,0.3962962754460561,39.739151,-104.984703
San Antonio,0.4994105714086092,29.42412,-98.493629
Dallas,0.4512621404962484,32.783058,-96.806671
Houston,0.5379180217098737,29.763281,-95.363274
Kansas City,0.5064708490441076,39.099731,-94.578568
Minneapolis,0.506534952608314,44.979969,-93.26384
Chicago,0.49538795154287424,41.850029,-87.650047
Nashville,0.48238037003539663,36.16589,-86.784439
Indianapolis,0.5136638195266041,39.768379,-86.158043
Atlanta,0.48856569989923093,33.749001,-84.387978
Detroit,0.4867183196069884,42.331429,-83.045753
Jacksonville,0.5092904732376772,30.33218,-81.655647
Charlotte,0.48431278070796285,35.227089,-80.843132
Miami,0.49188758616223555,25.774269,-80.193657
Pittsburgh,0.4737850085822474,40.44062,-79.995888
Philadelphia,0.47684853550037476,39.952339,-75.163788
New York,0.4788049062442988,40.714272,-74.005966
Boston,0.5288617261876712,42.358429,-71.059769
Jerusalem,0.421627959859015,31.769039,35.216331
