date,Temperature,count
2016-06-21,Not Freezing,216.0
2016-06-22,Not Freezing,264.0
2016-06-23,Not Freezing,168.0
2016-06-24,Not Freezing,288.0
2016-06-25,Not Freezing,72.0
2016-06-26,Not Freezing,264.0
2016-06-27,Not Freezing,336.0
2016-06-28,Not Freezing,336.0
2016-06-29,Not Freezing,504.0
2016-06-30,Not Freezing,216.0
2016-07-01,Freezing,264.0
2016-07-02,Freezing,72.0
2016-07-04,Not Freezing,192.0
2016-07-05,Not Freezing,312.0
2016-07-06,Not Freezing,408.0
2016-07-07,Not Freezing,216.0
2016-07-08,Not Freezing,408.0
2016-07-09,Not Freezing,216.0
2016-07-10,Not Freezing,96.0
2016-07-11,Not Freezing,120.0
2016-07-12,Freezing,432.0
2016-07-13,Not Freezing,216.0
2016-07-14,Not Freezing,72.0
2016-07-15,Not Freezing,96.0
2016-07-16,Not Freezing,48.0
2016-07-18,Not Freezing,120.0
2016-07-19,Not Freezing,480.0
2016-07-20,Not Freezing,312.0
2016-07-21,Not Freezing,408.0
2016-07-22,Not Freezing,216.0
2016-07-23,Not Freezing,168.0
2016-07-24,Not Freezing,240.0
2016-07-25,Not Freezing,336.0
2016-07-26,Not Freezing,240.0
2016-07-27,Not Freezing,288.0
2016-07-28,Not Freezing,336.0
2016-07-29,Not Freezing,288.0
2016-07-30,Not Freezing,120.0
2016-07-31,Not Freezing,264.0
2016-08-01,Freezing,384.0
2016-08-02,Not Freezing,264.0
2016-08-03,Not Freezing,72.0
2016-08-04,Freezing,264.0
2016-08-05,Not Freezing,144.0
2016-08-06,Not Freezing,168.0
2016-08-07,Not Freezing,144.0
2016-08-08,Not Freezing,432.0
2016-08-09,Not Freezing,288.0
2016-08-10,Not Freezing,144.0
2016-08-11,Not Freezing,192.0
2016-08-12,Freezing,168.0
2016-08-13,Not Freezing,408.0
2016-08-14,Not Freezing,96.0
2016-08-15,Not Freezing,288.0
2016-08-16,Not Freezing,384.0
2016-08-17,Not Freezing,288.0
2016-08-18,Not Freezing,264.0
2016-08-19,Not Freezing,264.0
2016-08-20,Not Freezing,144.0
2016-08-21,Not Freezing,96.0
2016-08-22,Not Freezing,192.0
2016-08-23,Not Freezing,216.0
2016-08-24,Not Freezing,600.0
2016-08-25,Not Freezing,216.0
2016-08-26,Not Freezing,360.0
2016-08-27,Not Freezing,336.0
2016-08-28,Not Freezing,48.0
2016-08-29,Not Freezing,240.0
2016-08-30,Not Freezing,264.0
2016-08-31,Not Freezing,264.0
2016-09-01,Not Freezing,312.0
2016-09-02,Freezing,408.0
2016-09-03,Not Freezing,24.0
2016-09-04,Freezing,72.0
2016-09-05,Not Freezing,216.0
2016-09-06,Not Freezing,216.0
2016-09-07,Not Freezing,72.0
2016-09-08,Not Freezing,168.0
2016-09-09,Not Freezing,312.0
2016-09-10,Not Freezing,408.0
2016-09-11,Not Freezing,72.0
2016-09-12,Freezing,264.0
2016-09-13,Not Freezing,480.0
2016-09-14,Not Freezing,576.0
2016-09-15,Not Freezing,288.0
2016-09-16,Not Freezing,336.0
2016-09-17,Not Freezing,432.0
2016-09-18,Not Freezing,192.0
2016-09-19,Not Freezing,288.0
2016-09-20,Not Freezing,120.0
2016-09-21,Not Freezing,336.0
2016-09-22,Not Freezing,120.0
2016-09-23,Not Freezing,120.0
2016-09-24,Not Freezing,264.0
2016-09-25,Not Freezing,24.0
2016-09-26,Not Freezing,696.0
