datetime,Temp,Humidity,Wind_Speed_km,Temp_bins,Humidity_bins,Wind_Speed_bins,date,count,count_bins,Temp_norm,Humid_norm,weather_score
2016-03-22,288.3700993833333,59.875,1.0,Low,Low,High,March,5,Low,0.22172727564789352,0.5473313192346425,1.769058594882536
2016-03-23,289.9841461583333,32.791666666666664,0.47160178685386095,Medium,Low,High,March,68,High,0.1064958360105684,0.2200402819738167,0.7981379048382461
2016-03-24,290.7827041625,38.41666666666666,0.17677089980855143,Medium,Low,Medium,March,68,High,0.04948448424597284,0.2880161127895266,0.5142714968440508
2016-03-25,290.8668099083333,52.833333333333336,0.2208040842373963,Medium,Low,Medium,March,45,Medium,0.043479933247663985,0.4622356495468279,0.7265196670318882
2016-03-26,290.3185758541667,68.5,0.32227185705169115,Medium,Medium,High,March,19,Low,0.0826199385426336,0.6515609264853979,1.0564527220797226
2016-03-27,290.36196520416667,74.875,0.2744097000638162,Medium,High,Medium,March,37,Low,0.07952224810214072,0.7286002014098691,1.082532149575826
2016-03-28,289.2700875333333,74.25,0.31652839821314616,Low,High,High,March,56,Medium,0.1574745341614932,0.7210473313192347,1.195050263693874
2016-03-29,285.77311557916664,49.333333333333336,0.7957881301850671,Low,Low,High,March,53,Medium,0.4071334157326114,0.419939577039275,1.6228611229569534
2016-03-30,285.60392475,61.875,0.3446075303126995,Low,Low,High,March,74,High,0.4192124354489436,0.5715005035246727,1.3353204692863159
2016-03-31,286.7453734416667,57.41666666666666,0.3918315252074027,Low,Low,High,March,54,Medium,0.33772113169605544,0.5176233635448136,1.2471760204482718
2016-04-01,286.4361082125,55.91666666666666,0.1997447351627314,Low,Low,Medium,April,87,High,0.3598004655410378,0.49949647532729097,1.0590416760310601
2016-04-02,284.77486917916667,40.04166666666666,0.20676451818761968,Low,Low,Medium,April,29,Low,0.47840109617810056,0.30765357502517615,0.9928191893908964
2016-04-03,288.5765811083333,77.45833333333333,0.2144224633056797,Low,High,Medium,April,31,Low,0.20698595166702663,0.7598187311178248,1.1812271460905313
2016-04-04,291.4555211708333,60.5,0.23292916400765798,Medium,Low,Medium,April,35,Low,0.0014501436781633075,0.554884189325277,0.7892634970110983
2016-04-05,290.56083333333333,76.79166666666667,0.2801531589023612,Medium,High,Medium,April,61,High,0.06532448061683561,0.7517623363544815,1.0972399758736784
2016-04-06,296.7404166666667,82.33333333333333,0.31716656030631785,High,High,High,April,62,High,0.37340853382832845,0.8187311178247736,1.5093062119594198
2016-04-07,293.9591666666667,70.875,0.43714103382259095,Medium,Medium,High,April,88,High,0.17484710025939948,0.6802618328298088,1.2922499669117993
2016-04-08,297.6,62.16666666666666,0.07785577536694323,High,Low,Low,April,60,High,0.4347766592894061,0.5750251762336354,1.0876576108899847
2016-04-09,293.1645833333333,71.79166666666667,0.3126994256541162,Medium,Medium,High,April,43,Medium,0.11811951167273749,0.691339375629406,1.1221583129562598
2016-04-10,290.97083333333336,65.375,0.026164645820038294,Medium,Medium,Low,April,35,Low,0.03605340187049284,0.6137965760322257,0.6760146237227569
2016-04-11,293.50333333333333,51.958333333333336,0.20804084237396303,Medium,Low,Medium,April,57,High,0.14230384807596466,0.45166163141993965,0.8020063218698673
2016-04-12,286.2311511208333,47.333333333333336,0.11550733886407151,Low,Low,Low,April,93,High,0.3744329415649329,0.3957703927492448,0.8857106731782493
2016-04-13,289.8498023916666,72.875,0.475430759412891,Medium,Medium,High,April,57,High,0.11608702375003353,0.7044310171198389,1.2959488002827635
2016-04-14,289.93457942083336,68.66666666666667,0.5928525845564775,Medium,Medium,High,April,58,High,0.11003454790461839,0.6535750251762338,1.3564621576373295
2016-04-15,290.29299385,40.79166666666666,0.9591576260370136,Medium,Low,High,April,2,Low,0.0844463113681255,0.31671701913393746,1.3603209565390766
2016-04-17,294.3490040875,39.375,0.3624760689215061,High,Low,High,April,30,Low,0.20267871451179578,0.29959718026183285,0.8647519636951347
2016-04-18,294.9965750958333,32.333333333333336,0.3452456924058711,High,Low,High,April,76,High,0.2489106705575779,0.21450151057401817,0.8086578735374672
2016-04-19,295.5607725708333,34.291666666666664,0.26292278238672623,High,Low,Medium,April,58,High,0.2891903503605344,0.23816717019133937,0.7902803029386001
2016-04-20,295.0509972583333,41.79166666666666,0.2552648372686662,High,Low,Medium,April,50,Medium,0.25279602520168665,0.3288016112789526,0.8368624737493054
2016-04-21,294.76666666666665,40.91666666666666,0.1506062539885131,High,Low,Low,April,87,High,0.23249684681468927,0.31822759315206434,0.7013306939552667
2016-04-22,290.5639638833333,72.08333333333333,0.24186343331206128,Medium,Medium,Medium,April,78,High,0.06510098165203371,0.6948640483383686,1.0018284633024637
2016-04-23,290.395173225,61.833333333333336,0.7970644543714105,Medium,Low,High,April,1,Low,0.07715143202208487,0.5709969788519639,1.4452128652454594
2016-04-24,290.86316065833336,63.54166666666666,0.404594767070836,Medium,Medium,High,April,17,Low,0.0437404636967228,0.5916414904330312,1.0399767212005901
2016-04-25,288.6965864333333,61.208333333333336,0.9246968730057434,Low,Low,High,April,57,High,0.19841842650103664,0.5634441087613294,1.6865594082681097
2016-04-26,286.8287156791667,53.375,0.6100829610721125,Low,Low,High,April,62,High,0.331771089752741,0.46878147029204437,1.410635521116898
2016-04-27,289.00019467916667,60.25,0.404594767070836,Low,Low,High,April,35,Low,0.17674296095999686,0.5518630412890232,1.133200769319856
2016-04-28,288.2488184791667,57.125,0.49968091895341427,Low,Low,High,April,63,High,0.23038586807786496,0.514098690835851,1.2441654778671303
2016-04-29,288.59,65.91666666666667,0.3962986598596044,Low,Medium,High,April,68,High,0.20602793841174896,0.6203423967774422,1.2226689950487954
2016-04-30,288.695,69.375,0.4786215698787492,Low,Medium,High,April,25,Low,0.19853168653768472,0.6621349446122861,1.33928820102872
2016-05-01,285.9451576833333,80.75,0.18123803446075307,Low,High,Medium,May,5,Low,0.3948508352966381,0.799597180261833,1.3756860500192243
2016-05-02,288.4306778125,36.04166666666666,0.12635609444798981,Low,Low,Low,May,45,Medium,0.21740240742723982,0.2593152064451157,0.6030737083203453
2016-05-03,288.9128103875,76.5,0.20612635609444802,Low,High,Medium,May,36,Low,0.18298157677114088,0.7482376636455187,1.1373455965111077
2016-05-04,292.216966625,64.75,0.22846202935545631,Medium,Medium,Medium,May,36,Low,0.050466430475241686,0.6062437059415912,0.8851721657722892
2016-05-05,289.3391666666667,67.25,0.30185067007019784,Low,Medium,Medium,May,45,Medium,0.1525427762309307,0.636455186304129,1.0908486326052576
2016-05-06,294.31333333333333,82.58333333333333,0.3407785577536695,High,High,High,May,4,Low,0.20013207681873604,0.8217522658610273,1.3626629004334327
2016-05-08,297.02458333333334,65.20833333333333,0.04530950861518827,High,Medium,Low,May,5,Low,0.39369600913829017,0.6117824773413898,1.0507879950948682
2016-05-09,292.8929166666667,68.0,0.3375877472878111,Medium,Medium,High,May,34,Low,0.09872444730016337,0.6455186304128903,1.0818308250008648
2016-05-10,288.3700416666667,67.66666666666667,0.022335673261008302,Low,Medium,Low,May,42,Medium,0.22173139620665824,0.6414904330312187,0.8855575024988852
2016-05-11,292.46166666666664,82.375,0.10784939374601152,Medium,High,Low,May,40,Medium,0.06793626996025959,0.8192346424974826,0.9950203062037537
2016-05-12,286.8425727041667,74.33333333333333,0.11614550095724317,Low,High,Low,May,48,Medium,0.3307817968991683,0.7220543806646526,1.168981678521064
2016-05-13,292.7925,75.04166666666667,0.3784301212507977,Medium,High,High,May,3,Low,0.09155541276980997,0.730614300100705,1.2005998341213127
2016-05-16,290.6699117458333,69.33333333333333,0.3573707721761328,Medium,Medium,High,May,42,Medium,0.057537059149000376,0.6616314199395771,1.0765392512647103
2016-05-17,291.60083333333336,71.91666666666667,0.37396298659859606,Medium,Medium,High,May,55,Medium,0.006478903405445173,0.6928499496475329,1.073291839651574
2016-05-18,292.14625,74.45833333333333,0.3350350989151245,Medium,High,High,May,100,High,0.04541776730682672,0.7235649546827795,1.1040178209047309
2016-05-19,291.71583333333336,76.20833333333333,0.2865347798340779,Medium,High,Medium,May,70,High,0.014689084029419514,0.744712990936556,1.0459368548000534
2016-05-20,290.43541666666664,69.45833333333333,0.36119974473516275,Medium,Medium,High,May,69,High,0.07427833702196834,0.6631419939577039,1.098620075714835
2016-05-21,288.5833333333333,62.66666666666666,0.5443522654754309,Low,Low,High,May,33,Low,0.20650389091168903,0.581067472306143,1.331923628693263
2016-05-22,288.93,60.54166666666666,0.42884492661135937,Low,Low,High,May,58,High,0.18175436091478098,0.5553877139979858,1.165987001524126
2016-05-23,289.7308333333333,62.91666666666666,0.5660497766432675,Medium,Low,High,May,71,High,0.12458056685943127,0.5840886203423967,1.2747189638450955
2016-05-24,289.6585664666666,68.04166666666667,0.42118698149329936,Medium,Medium,High,May,94,High,0.1297399062373613,0.6460221550855993,1.19694904281626
2016-05-25,289.31209655000004,67.29166666666667,0.5188257817485642,Low,Medium,High,May,125,High,0.1544753896861077,0.636958710976838,1.31025988241151
2016-05-26,289.88112709166666,67.83333333333333,0.38098276962348443,Medium,Medium,High,May,97,High,0.11385066335879863,0.6435045317220544,1.1383379647043375
2016-05-27,291.37248458333335,70.95833333333333,0.33694958519463947,Medium,Medium,High,May,100,High,0.007378364389234579,0.6812688821752266,1.0255968317591007
2016-05-28,291.58027430416666,72.625,0.2935545628589662,Medium,Medium,Medium,May,47,Medium,0.0050111352062097375,0.7014098690835852,0.9999755671487611
2016-05-29,291.0385920791667,72.375,0.33567326100829614,Medium,Medium,High,May,43,Medium,0.031215910199662817,0.6983887210473314,1.0652778922552903
2016-05-30,291.42372283333333,71.58333333333333,0.2814294830887046,Medium,Medium,Medium,May,40,Medium,0.0037203184122243105,0.6888217522658611,0.9739715537667899
2016-05-31,291.8391003166667,75.91666666666667,0.3133375877472878,Medium,High,High,May,98,High,0.023489468361063477,0.7411883182275933,1.0780153743359449
2016-06-01,283.1617482041667,84.95833333333333,0.27058072750478623,Low,High,Medium,June,69,High,0.5935664402917545,0.8504531722054383,1.714600340001979
2016-06-02,290.4683333333333,25.791666666666668,0.11614550095724317,Medium,Low,Low,June,72,High,0.07192832155351221,0.135448136958711,0.3235219594694664
2016-06-03,288.61467207083336,78.70833333333333,0.541799617102744,Low,High,High,June,72,High,0.2042665283429698,0.7749244712990938,1.5209906167448077
2016-06-04,293.962372575,65.16666666666667,0.2737715379706446,Medium,Medium,Medium,June,40,Medium,0.1750759792722726,0.6112789526686809,1.0601264699115982
2016-06-05,288.27708333333334,72.79166666666667,0.3235481812380345,Low,Medium,High,June,39,Medium,0.2283679588777043,0.7034239677744211,1.2553401078901598
2016-06-06,292.3775,77.58333333333333,0.3477983407785578,Medium,High,High,June,81,High,0.061927369648512136,0.7613293051359518,1.1710550155630217
2016-06-07,294.365,70.5,0.41927249521378435,High,Medium,High,June,88,High,0.20382070869327565,0.6757301107754281,1.2988233146824881
2016-06-08,296.47583333333336,69.70833333333333,0.03573707721761328,High,Medium,Low,June,75,High,0.3545191689869386,0.6661631419939578,1.0564193881985098
2016-06-09,293.69625,74.75,0.2999361837906829,Medium,High,Medium,June,87,High,0.15607672354299468,0.7270896273917423,1.18310253472542
2016-06-10,285.7004166666667,52.958333333333336,0.0031908104658583307,Low,Low,Low,June,77,High,0.4123236001047081,0.46374622356495476,0.8792606341355211
2016-06-11,290.82125,88.20833333333333,0.16145500957243145,Medium,High,Medium,June,21,Low,0.046732586087908326,0.8897280966767374,1.0979156923370772
2016-06-12,286.966687225,77.54166666666667,0.18123803446075307,Low,High,Medium,June,31,Low,0.3219209044287391,0.7608257804632429,1.263984719352735
2016-06-13,291.38375,68.16666666666667,0.08487555839183153,Medium,Medium,Low,June,94,High,0.006574093905428318,0.6475327291037262,0.738982381400986
2016-06-14,291.24375000000003,53.083333333333336,0.10593490746649652,Medium,Low,Low,June,75,High,0.016569096404177926,0.46525679758308164,0.5877608014537561
2016-06-16,291.98791666666665,57.79166666666666,0.12571793235481815,Medium,Low,Low,June,40,Medium,0.03411389543323786,0.5221550855991943,0.6819869133872503
2016-06-17,294.95708333333334,50.54166666666666,0.05232929164007658,High,Low,Low,June,61,High,0.24609124009424177,0.43454179254783476,0.7329623242821531
2016-06-18,298.2233333333333,37.91666666666666,0.09253350350989155,High,Low,Low,June,24,Low,0.4792782180338393,0.28197381671701904,0.8537855382607499
2016-06-19,301.6558333333333,22.695652173913043,0.1805998723675814,High,Low,Medium,June,30,Low,0.7243342614407066,0.09803406453872762,1.0029681983470156
2016-06-20,305.51708333333335,21.363636363636363,0.13720485003190813,High,Low,Low,June,56,Medium,1.0,0.08193719674082212,1.2191420467727303
2016-06-21,302.3833333333333,47.625,0.042756860242501596,High,Low,Low,June,73,High,0.7762725779967155,0.3992950654582075,1.2183245036974246
2016-06-22,298.6620833333333,56.29166666666666,0.029355456285896628,High,Low,Low,June,80,High,0.5106018419361756,0.5040281973816716,1.043985495603744
2016-06-23,296.71375,72.58333333333333,0.03318442884492662,High,Medium,Low,June,67,High,0.3715047238285641,0.7009063444108762,1.1055954970843669
2016-06-24,295.5670833333333,76.91666666666667,0.215698787492023,High,High,Medium,June,72,High,0.28964089383879477,0.7532729103726085,1.258612591703426
2016-06-25,295.43083333333334,69.79166666666667,0.3069559668155712,High,Medium,High,June,37,Low,0.2799136146212635,0.6671701913393757,1.2540397727762105
2016-06-26,297.055,73.54166666666667,0.3126994256541162,High,Medium,High,June,49,Medium,0.3958675424192688,0.7124874118831824,1.4210543799565674
2016-06-27,298.10125,75.0,0.2827058072750479,High,High,Medium,June,73,High,0.4705623378786806,0.7301107754279961,1.4833789205817247
2016-06-28,298.72,77.20833333333333,0.3656668793873644,High,High,High,June,60,High,0.5147366792794111,0.7567975830815711,1.6372011417483465
2016-06-29,298.1458333333333,76.33333333333333,0.3516273133375878,High,High,High,June,76,High,0.4737452702220319,0.7462235649546828,1.5715961485143026
2016-06-30,297.75177615416663,73.41666666666667,0.37970644543714105,High,Medium,High,June,74,High,0.44561239529044927,0.7109768378650555,1.536295678592646
2016-07-01,282.5793827375,82.75,0.18251435864709642,Low,High,Medium,July,29,Low,0.6351431852526107,0.8237663645518633,1.6414239084515705
2016-07-02,291.2683333333333,24.416666666666668,0.24888321633694963,Medium,Low,Medium,July,14,Low,0.01481402156065094,0.11883182275931524,0.3825290606569158
2016-07-03,285.6471403125,68.54166666666667,0.7460114869176773,Low,Medium,High,July,29,Low,0.4161271521977084,0.6520644511581069,1.8142030902734925
2016-07-04,290.901941,75.08333333333333,0.13529036375239314,Medium,High,Low,July,45,Medium,0.040971823612003334,0.7311178247734139,0.9073800121378104
2016-07-05,288.4816666666666,69.125,0.33567326100829614,Low,Medium,High,July,75,High,0.21376216653578323,0.6591137965760323,1.2085492241201117
2016-07-06,292.81125000000003,73.625,0.3388640714741545,Medium,High,High,July,71,High,0.09289402917589344,0.7134944612286003,1.1452525618786482
2016-07-07,294.70958333333334,70.04166666666667,0.37523931078493944,High,Medium,High,July,62,High,0.22842150353395038,0.6701913393756296,1.2738521536945193
2016-07-08,296.505,70.33333333333333,0.06190172303765156,High,Medium,Low,July,70,High,0.3566014611741764,0.6737160120845922,1.09221919629642
2016-07-09,294.7008333333333,81.95833333333333,0.2776005105296746,High,High,Medium,July,20,Low,0.22779681587777703,0.8141993957703929,1.3195967221778444
2016-07-10,289.17941666666667,34.208333333333336,0.022335673261008302,Low,Low,Low,July,28,Low,0.16394778801075724,0.2371601208459215,0.42344358211768707
2016-07-11,290.94875,85.83333333333333,0.16911295469049142,Medium,High,Medium,July,57,High,0.037629994526546355,0.8610271903323264,1.0677701395493642
2016-07-12,285.5359683125,75.75,0.1282705807275048,Low,High,Low,July,55,Medium,0.424064040896217,0.7391742195367574,1.2915088411604794
2016-07-13,296.6180752208333,71.0,0.37268666241225273,High,Medium,High,July,32,Low,0.36467422627971713,0.6817724068479356,1.4191332955399054
2016-07-14,295.1888333333333,59.41666666666666,0.1269942565411615,High,Low,Low,July,66,High,0.26263653887342187,0.5417925478348439,0.9314233432494272
2016-07-15,295.4465,53.583333333333336,0.025526483726866632,High,Low,Low,July,84,High,0.2810321029961243,0.4712990936555892,0.7778576803785802
